id,title,channel,published_at,description,thumbnail,duration,view_count,like_count,tags,category,genre,mood,release_year
VzoFQBMrxUE,"Top 40 Songs This Week 2025 🎤  Bruno Mars, Dua Lipa, Rihanna, Lady Gaga, Ed Sheeran",Vibe Out Loud,2025-04-02T11:30:41Z,"Top 40 Songs This Week 2025 Bruno Mars, Dua Lipa, Rihanna, Lady Gaga, Ed Sheeran Get ready to elevate your vibe with ...",https://i.ytimg.com/vi/VzoFQBMrxUE/hqdefault.jpg,4588,433241,2364,"['top billboard songs 2025', 'top pop songs 2025', 'bruno mars', 'dua lipa', 'rihanna', 'lady gaga', 'ed sheeran', 'pop mix 2025', 'top songs this week 2025', 'pop music 2025', 'most listened songs 2025', 'most popular pop songs', 'best pop songs 2025', 'billboard 2025', 'trending songs 2025', 'most popular songs 2025', 'pop hits 2025', 'best pop music', 'billboard hits 2025', 'top songs 2025', 'international music mix']",10,pop,other,2025.0
PABpxJnCGjM,"Pop Song 2025 - Bruno Mars, Adele, Dua Lipa, Ed Sheeran, Selena Gomez, Maroon 5, Taylor Swift",Pop Music,2025-01-21T11:05:36Z,"Get a sneak peek at the future of pop music with this compilation of songs from Bruno Mars, Adele, Dua Lipa, Ed Sheeran, and ...",https://i.ytimg.com/vi/PABpxJnCGjM/hqdefault.jpg,6555,414776,1479,"['pop', 'pop hits', 'pop song', 'pop music', 'popular music', 'popular songs', 'popular song', 'pop music 2024', 'pop songs', 'pop hits 2025', 'pop songs 2024', 'top songs 2025', 'top songs 2024', 'top hits 2025', 'top hits', 'hits', 'adele', 'rihanna', 'the weeknd', 'top songs', 'top song', 'billboard', 'billboard 2024', 'billboard hot 100', 'popular songs 2025', 'billboard top 50 this week', 'top music', 'hits 2024', 'top 100 songs 2025', 'top 40 songs this week', 'top 100 songs', 'pop radio', 'best english songs', 'best songs 2025']",10,pop,other,2025.0
EVmewUAIdmI,Top Hits Playlist 2025 - Spotify Songs Collection Album - The Best Of Acoustic Cover - Greatest Hits,Good Energy,2025-01-25T01:00:13Z,Top Hits Playlist 2025 - Spotify Songs Collection Album - The Best Of Acoustic Cover - Greatest Hits Top Hits Playlist 2025 ...,https://i.ytimg.com/vi/EVmewUAIdmI/hqdefault.jpg,4157,365082,1338,[],10,unknown,other,2025.0
8Lj9wFaUZIk,Hits Radio 1 Live Pop Radio&#39; Top Hits 2024 - Pop Music 2024 - New Songs 2024 Best English Songs 2024,Radio Hits Music,2025-04-17T14:12:06Z,"Hits Radio 1 - Live Pop Radio' Top Hits 2024 - Pop Music 2024 - New Songs 2024 - Best English Songs 2024, hits playlist, hits ...",https://i.ytimg.com/vi/8Lj9wFaUZIk/hqdefault.jpg,921,278896,840,"['live radio music', 'pop hits 2025', 'top hits 2024', 'pop hits 2024', 'live music', 'live music 2025', 'live music radio', 'radio hits live', 'pop radio live', 'pop radio', 'radio hits 2025', 'greatest hits', 'pop music live', 'english hits', 'pop radyo', 'hit müzik 2024', 'hit radio', 'english radio live', 'english songs 2024', 'hit songs 2025', 'top hits radio', 'music live', 'pop music radio', 'hits', 'hits 2025', 'hits 2024 playlist', 'hits 2024', 'hits radio', 'hit', 'hits music', 'hits music 2024', 'hits music 2025']",10,pop,other,2024.0
gPto4JMeTgA,Greatest Hits 80s Oldies Music 📀 Best Music Hits 80s Playlist 📀 Music Hits Oldies But Goodies,80s Greatest Hits,2025-02-25T16:12:54Z,Greatest Hits 80s Oldies Music Best Music Hits 80s Playlist Music Hits Oldies But Goodies Link: ...,https://i.ytimg.com/vi/gPto4JMeTgA/hqdefault.jpg,55,246849,1592,"['80s', '80s greatest hits', '80s music hits', 'best 80s songs', '80s hits', '80s songs', 'best old songs', '80s oldies music', 'greatest 80s songs', 'best 80s hits', 'best oldies song of 1980', 'the best of 80s oldies', '80s songs playlist', 'old songs all time', 'greatest 80s music hits', 'greatest old songs', 'top 80s songs', 'pop of the 80s', '80s music', 'top disco songs', 'disco greatest hits', 'disco music hits', 'best 80s Songs', '80s 90s greatest hits', '80s greatest hits songs', 'madonna', 'michael jackson', 'ccr']",10,pop,other,1980.0
wsJ2LJ9TtFI,top hits of the 2000&#39;s ~nostalgia playlist ~summer hits of the 2000&#39;s radio mix,Amazing Melody ♫,2025-01-08T07:00:38Z,2000smusic #2000snostalgia #2000sthrowbacks #2000shits Help me to get 200.000 subs: ...,https://i.ytimg.com/vi/wsJ2LJ9TtFI/hqdefault.jpg,7161,233222,1329,[],10,unknown,other,2000.0
NtTdainRvQ8,THE BEST 80S SONGS 💿 #80smusic #popmusic #80s,Creall’s Music Vault,2025-03-13T21:00:19Z,10 Best 80s songs of All Time #80smusic #1980s #80s.,https://i.ytimg.com/vi/NtTdainRvQ8/hqdefault.jpg,48,215232,8076,"['the best 80s songs', '80s songs', 'best 80s songs', '1980s songs', 'the best 1980s songs', 'best 1980s songs', '80s', '80s best songs', '1980s best songs', 'best songs 1980s', 'best songs 80s', '1980', '80s pop music', '1980s pop music', 'pop music 80s', 'pop music 1980s']",10,pop,other,1980.0
zbCZV5ATB3g,"Country Songs 2025 🎻 Morgan Wallen, Luke Bryan, Chris Stapleton, Luke Combs, Kane Brown, Blake Shel",Country Hits Collection,2025-03-07T12:01:28Z,"countrymusic #countrysongs #newcountrysongs Country Songs 2025 Morgan Wallen, Luke Bryan, Chris Stapleton, Luke ...",https://i.ytimg.com/vi/zbCZV5ATB3g/hqdefault.jpg,59,155451,1162,"['country music', 'country music 2025', 'country music playlist 2025', 'country songs 2025', 'new country music 2025', 'country music 2024', 'country music playlist 2024', 'country music playlist', 'country hits', 'country', 'country song', 'country songs', 'best country songs', 'country playlist', 'country music mix 2025', 'best country music', 'top country songs 2024', 'morgan wallen', 'best country songs 2025', 'top country 2025', 'country song 2025', 'new country songs 2025', 'top country songs 2025', 'luke combs']",10,country,other,2025.0
2hNYFLQaaLo,Best Songs From The 80s #music #80s #nostalgia,Creall’s Music Vault,2025-03-11T18:00:03Z,The Most Popular Songs From the 80s. These are the best songs from the 1980s. #viralsong #music #80smusic.,https://i.ytimg.com/vi/2hNYFLQaaLo/hqdefault.jpg,48,145928,5130,"['best songs 1980s', '1980s best songs', '80s best songs', 'best songs 80s', '80s music', '80s songs', '1980s songs', '1980s music', 'popular 80s music', 'popular 80s songs', 'popular 1980s music', 'popular 1980s songs', '80s', '1980s', 'best songs', 'best songs from the 1980s', 'best songs from the 80s']",10,pop,other,
N7cYMSgWWmY,Top hits 2025 playlist ~ Trending tiktok songs ~ Best songs 2024 updated weekly (Mix Hits),Melody Chill Mix,2025-05-01T00:00:20Z,Top hits 2025 playlist ~ Trending tiktok songs ~ Best songs 2024 updated weekly (Mix Hits) Top hits 2025 playlist ~ Trending tiktok ...,https://i.ytimg.com/vi/N7cYMSgWWmY/hqdefault.jpg,4395,132322,423,[],10,unknown,other,2025.0
WXYjR-dCBVA,"Billboard Pop Songs 2025 Playlist ✨Ed Sheeran, The Weeknd, Bruno Mars, Rihanna, Sia, Adele, Dua Lipa",Pop Music,2025-02-17T10:39:07Z,topsonghits #billboardhot100 #topsongs **Top Songs Hits: Must-Listen Pop Hits of 2025!** Billboard Pop Songs 2025 Playlist ...,https://i.ytimg.com/vi/WXYjR-dCBVA/hqdefault.jpg,3878,130532,482,"['pop', 'pop hits', 'pop song', 'pop music', 'popular music', 'popular songs', 'popular song', 'pop music 2024', 'pop songs', 'pop hits 2025', 'pop songs 2024', 'top songs 2025', 'top songs 2024', 'top hits 2025', 'top hits', 'hits', 'adele', 'rihanna', 'the weeknd', 'top songs', 'top song', 'billboard', 'billboard 2024', 'billboard hot 100', 'popular songs 2025', 'billboard top 50 this week', 'top music', 'hits 2024', 'top 100 songs 2025', 'top 40 songs this week', 'top 100 songs', 'pop radio', 'best english songs', 'best songs 2025']",10,pop,other,2025.0
zdrQitjzUbc,Rihanna’s TOP 10 MOST VIEWED Songs On YouTube,DJ GallixC,2023-09-05T14:53:19Z,These are the top 10 MOST VIEWED Rihanna songs on YouTube! Hope you enjoy!,https://i.ytimg.com/vi/zdrQitjzUbc/hqdefault.jpg,61,128834,5933,"['Rihanna', 'Riri', 'Asap rocky', 'Umbrella', 'Jay Z', 'Kanye west', 'What’s my name', 'Whats my name', 'Drake', 'We found love', 'Calvin Harris', 'Edm', 'Stay', 'Wild thoughts', 'DJ Khaled', 'Can’t remember to forget you', 'Shakira', 'Work', 'Diamonds', 'Love the way you lie', 'Eminem', 'This is what you came for']",10,rock,romantic,
PSZlMvc4CC8,Hits Radio 1 Live Pop Radio&#39; Top Hits 2024 - Pop Music 2024 - New Songs 2024 Best English Songs 2024,Radio Hits Music,2025-05-06T15:52:24Z,"Hits Radio 1 Live Pop Radio' Top Hits 2024 - Pop Music 2024 - New Songs 2024 Best English Songs 2024 hits playlist, hits ...",https://i.ytimg.com/vi/PSZlMvc4CC8/hqdefault.jpg,10916,89586,308,"['radio live', 'hits radio', 'live radio', 'live music', 'hit radio', 'pop radio', 'hits', 'music live', 'radio hit', 'radio pop', 'hits radio live', 'radio hits 2024', 'fm radio live', 'pop live', 'radio live music', 'hit radio live', 'pop music live', 'live pop music', 'radio hits live', 'hits 2024', 'live music 2024', 'live radio music', 'top hits 2024', 'live radio stations online', 'live music 2025', 'live music radio', 'radio hits 2025', 'new hits', 'music 2025', 'english radio live', 'english songs live', 'radio']",10,pop,other,2024.0
QejQqiLinus,1975 Hit Songs This Week (Songs Turning 50) #music #70smusic #70ssong #70s,Songs You Might Have Missed,2025-05-18T21:33:00Z,These songs were in the top 20 USA music charts this week in May 1975...50 years ago. Out of the 70's tunes we included...which ...,https://i.ytimg.com/vi/QejQqiLinus/hqdefault.jpg,45,2597,139,"['1975', '1975 best songs', '1975 hit songs', '1975 hits', '1975 music', '1975 music hits', '1975 songs', '1975 songs hits', '1975 top 10 songs', '1975 top hits billboard', '1975 top songs', '1975 top songs this month', '1975 top songs this week', '1975 top songs this week billboard', ""70's songs"", 'best songs', 'billboard 1975 top 100 songs', 'old 1975 songs', 'songs of 1975 billboard', 'songs turning 50', 'songs turning 50 in 2025', 'songs turning 50 this year', 'top songs 1975 billboard', 'top songs of 1975']",10,unknown,other,1975.0
eDh3WIyIFDo,किशोर कुमार के टॉप 10 गाने | बेस्ट हिट्स | Top 10 songs of Kishore Kumar #shorts #shortsfeed #viral,Family Music Extra,2025-05-18T11:30:37Z,किशोर कुमार के टॉप 10 गाने | बेस्ट हिट्स | Top 10 songs of Kishore Kumar #shorts #shortsfeed ...,https://i.ytimg.com/vi/eDh3WIyIFDo/hqdefault.jpg,59,1161,37,"['shorts', 'short', 'ytshorts', 'shortsfeed', 'bollywood', 'hindisongs', 'tranding', 'viralshorts', 'Kishore Kumar songs', 'best Kishore Kumar hits', 'Kishore Kumar top songs', 'retro Hindi songs', 'Kishore Kumar best moments', 'Kishore Kumar playlists', 'greatest hits of Kishore Kumar', 'Kishore Kumar love songs', 'Bollywood classics']",10,unknown,romantic,
